LATITUDE    HEIGHT       DOY  E. ANGLE      TEMP     PRESS         WVP        TM     DELAY   D. RATE
   (DEG)       (M)               (DEG)       (K)    (MBAR)      (MBAR)       (K)       (M)   (M/RAD)

   0.000     0.000     1.000    30.000   299.650  1013.250      26.093   284.920     5.154    -8.844
   0.000     0.000     1.000    60.000   299.650  1013.250      26.093   284.920     2.985    -1.718
   0.000     0.000     1.000    90.000   299.650  1013.250      26.093   284.920     2.586     0.000
   0.000     0.000   101.000    30.000   299.650  1013.250      26.093   284.920     5.154    -8.844
   0.000     0.000   101.000    60.000   299.650  1013.250      26.093   284.920     2.985    -1.718
   0.000     0.000   101.000    90.000   299.650  1013.250      26.093   284.920     2.586     0.000
   0.000     0.000   201.000    30.000   299.650  1013.250      26.093   284.920     5.154    -8.844
   0.000     0.000   201.000    60.000   299.650  1013.250      26.093   284.920     2.985    -1.718
   0.000     0.000   201.000    90.000   299.650  1013.250      26.093   284.920     2.586     0.000
   0.000     0.000   301.000    30.000   299.650  1013.250      26.093   284.920     5.154    -8.844
   0.000     0.000   301.000    60.000   299.650  1013.250      26.093   284.920     2.985    -1.718
   0.000     0.000   301.000    90.000   299.650  1013.250      26.093   284.920     2.586     0.000
   0.000   500.000     1.000    30.000   296.500   956.816      21.023   281.922     4.797    -8.231
   0.000   500.000     1.000    60.000   296.500   956.816      21.023   281.922     2.778    -1.599
   0.000   500.000     1.000    90.000   296.500   956.816      21.023   281.922     2.407     0.000
   0.000   500.000   101.000    30.000   296.500   956.816      21.023   281.922     4.797    -8.231
   0.000   500.000   101.000    60.000   296.500   956.816      21.023   281.922     2.778    -1.599
   0.000   500.000   101.000    90.000   296.500   956.816      21.023   281.922     2.407     0.000
   0.000   500.000   201.000    30.000   296.500   956.816      21.023   281.922     4.797    -8.231
   0.000   500.000   201.000    60.000   296.500   956.816      21.023   281.922     2.778    -1.599
   0.000   500.000   201.000    90.000   296.500   956.816      21.023   281.922     2.407     0.000
   0.000   500.000   301.000    30.000   296.500   956.816      21.023   281.922     4.797    -8.231
   0.000   500.000   301.000    60.000   296.500   956.816      21.023   281.922     2.778    -1.599
   0.000   500.000   301.000    90.000   296.500   956.816      21.023   281.922     2.407     0.000
   0.000  1000.000     1.000    30.000   293.350   902.973      16.899   278.925     4.470    -7.669
   0.000  1000.000     1.000    60.000   293.350   902.973      16.899   278.925     2.589    -1.490
   0.000  1000.000     1.000    90.000   293.350   902.973      16.899   278.925     2.243     0.000
   0.000  1000.000   101.000    30.000   293.350   902.973      16.899   278.925     4.470    -7.669
   0.000  1000.000   101.000    60.000   293.350   902.973      16.899   278.925     2.589    -1.490
   0.000  1000.000   101.000    90.000   293.350   902.973      16.899   278.925     2.243     0.000
   0.000  1000.000   201.000    30.000   293.350   902.973      16.899   278.925     4.470    -7.669
   0.000  1000.000   201.000    60.000   293.350   902.973      16.899   278.925     2.589    -1.490
   0.000  1000.000   201.000    90.000   293.350   902.973      16.899   278.925     2.243     0.000
   0.000  1000.000   301.000    30.000   293.350   902.973      16.899   278.925     4.470    -7.669
